265713,"Scotland, Pa.",2001,6.8,"Comedy,Crime","MV5BMTg0NDk3NjkyM15BMl5BanBnXkFtZTcwMTQwODEzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
109190,Baby's Day Out,1994,6,"Adventure,Comedy,Crime","MV5BMzI3NmQ1ZDUtZWQ1My00NzlkLWE5OGQtZjZkYWJmYzYwY2QxXkEyXkFqcGdeQXVyNDQ2MTMzODA@._V1_UX182_CR0,0,182,268_AL_.jpg"
24914,Bright Eyes,1934,7.3,"Comedy,Drama,Family","MV5BMjM5NDg4MDg4NV5BMl5BanBnXkFtZTcwMDMwNTczMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg"
27527,Dimples,1936,6.8,"Family,Musical","MV5BMTQ3MDUzNjM2OF5BMl5BanBnXkFtZTgwNDMyODgwMzE@._V1_UY268_CR9,0,182,268_AL_.jpg"
86194,Richard Pryor... Here and Now,1983,7.3,"Comedy,Documentary","MV5BMTI0NzMyNDkzMl5BMl5BanBnXkFtZTcwODQ1MDEyMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
107985,Rookie of the Year,1993,5.9,"Comedy,Family,Fantasy","MV5BZGJhODAwNDQtNGY0My00ZDA4LTgwOTMtMTA5NzdhZTQ0YmIwXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_UX182_CR0,0,182,268_AL_.jpg"
108037,The Sandlot,1993,7.8,"Comedy,Drama,Family","MV5BODllYjM1ODItYjBmOC00MzkwLWJmM2YtMjMyZDU3MGJhNjc4L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
103186,Vacas,1992,7.2,"Drama,Mystery,Romance","MV5BMTMwOTc2NDcwMV5BMl5BanBnXkFtZTcwNzQyNDMzMQ@@._V1_UY268_CR2,0,182,268_AL_.jpg"
275022,Crossroads,2002,3.4,"Comedy,Drama,Romance","MV5BOTI0NGM2MjktNjgxMi00Zjk3LTkyYWEtYTMzOGI2YTAxMmRmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
251114,Hart's War,2002,6.3,"Drama,War","MV5BMTYzMDg5ODQ1OF5BMl5BanBnXkFtZTYwMjc2Nzc5._V1_UX182_CR0,0,182,268_AL_.jpg"
251160,John Q,2002,7.1,"Crime,Drama,Thriller","MV5BMTcxNTQ1MzAyOF5BMl5BanBnXkFtZTYwNDg0ODk4._V1_UX182_CR0,0,182,268_AL_.jpg"
280030,Return to Never Land,2002,5.8,"Animation,Adventure,Family","MV5BYWMwMWQ5NWQtYTA1YS00OTQ5LWExZmItNGI5MzIyMWRhNDA5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
247745,Super Troopers,2001,7.1,"Comedy,Crime,Mystery","MV5BYzAyOTZjZDItZjNiYy00YTA3LWEyYWMtZTA0NmUzYjZhNjg0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
107034,The Good Son,1993,6.4,"Drama,Horror,Thriller","MV5BZDBiOWM2ZGEtNTNjNi00NmY1LWJhOTEtNjQ5MmNiMTgzNWVjL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
253200,Last Orders,2001,7,"Drama","MV5BNzk2OTYzMTIwMV5BMl5BanBnXkFtZTcwNzkxNDkyMQ@@._V1_UY268_CR0,0,182,268_AL_.jpg"
60200,After the Fox,1966,6.5,"Comedy,Crime","MV5BOTc4NjAxMDY2Nl5BMl5BanBnXkFtZTYwNTM2MzM5._V1_UY268_CR3,0,182,268_AL_.jpg"
44391,The Bad and the Beautiful,1952,7.9,"Drama,Romance","MV5BYmRmMmIyYWQtYTJkNS00OTIzLTg0ZTEtMThkN2U2ZjE0ZjVkXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
60218,Cast a Giant Shadow,1966,6.4,"Adventure,Drama,History","MV5BNzg0NjQ5MDM3N15BMl5BanBnXkFtZTcwMTY5MTEyMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg"
50306,Designing Woman,1957,6.8,"Comedy,Romance","MV5BZDAxZjIwZmUtMjhiYi00NmQ0LWE1YmItNTNiODBkYWZiZjgxXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
73026,Funny Lady,1975,6.4,"Biography,Comedy,Drama","MV5BMjE1MjM3MjU4N15BMl5BanBnXkFtZTcwODk5NjcyMQ@@._V1_UY268_CR5,0,182,268_AL_.jpg"
68687,The Heartbreak Kid,1972,6.9,"Comedy,Drama,Romance","MV5BMTM4OTkxMDcwN15BMl5BanBnXkFtZTcwNTYyMDgyMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg"
54269,Saturday Night and Sunday Morning,1960,7.7,"Drama,Romance","MV5BMTY3ODY5MzEwNl5BMl5BanBnXkFtZTcwMTczNTkxMQ@@._V1_UY268_CR2,0,182,268_AL_.jpg"
